"factualizado","bloqueado","equivalencia","idsubcuentairpfcom","idsubcuentacom","stockmin","observaciones","codbarras","codimpuesto","stockfis","stockmax","costemedio","preciocoste","tipocodbarras","nostock","codsubcuentacom","descripcion","codsubcuentairpfcom","secompra","codfamilia","codfabricante","imagen","controlstock","referencia","tipo","pvp","sevende","publico","partnumber","trazabilidad"
"2022-09-13","0",NULL,NULL,NULL,"0","Origen= ;Visible=Si;Unitat_Venda=kg;Unitat_Compra=kg;Nom_Compra=Mel milfors/timó/romaní/bruc 1 kg, UNITAT,  EL RUSC;Multiplicador=1;",,"IVA10,5","17","0","10","0","Code39","0",NULL,"Mel milfors/timó/romaní/bruc 1 kg, UNITAT,  EL RUSC",NULL,"1","6","alexsubi",NULL,"1","ale0002",NULL,"12.74","1","0",,"0"
"2022-03-18","1",NULL,NULL,NULL,"0","Origen= ;Visible=Si;Unitat_Venda=unitat;Unitat_Compra=unitat;Nom_Compra=Mel de castanyer 0,5 kg, UNITAT,  EL RUSC;Multiplicador=1;",,"IVA10","-3","0","5.4345454545455","0","Code39","0",NULL,"Mel de castanyer 450 gr, UNITAT, EL RUSC",NULL,"1","6","alexsubi",NULL,"1","ale0003",NULL,"7.04","1","0",,"0"
"2020-10-05","1",NULL,NULL,NULL,"0","Origen= ;Visible=Si;Unitat_Venda=unitat;Unitat_Compra=unitat;Nom_Compra=Mel de castanyer 1 kg, UNITAT, EL RUSC;Multiplicador=1;",,"IVA10","1","0","10.8375","0","Code39","0",NULL,"Mel de castanyer 1 kg, UNITAT, EL RUSC",NULL,"1","6","alexsubi",NULL,"1","ale0004",NULL,"13.82","1","0",,"0"
"2022-09-13","0",NULL,NULL,NULL,"0","Origen= ;Visible=Si;Unitat_Venda=kg;Unitat_Compra=kg;Nom_Compra=Mel de bosc 1kg, UNITAT,  EL RUSC;Multiplicador=1;",,"IVA10,5","-3","0","0","0","Code39","0",NULL,"Mel de bosc 1kg. UNITAT, EL RUSC",NULL,"1","6","alexsubi",NULL,"1","ale005",NULL,"13.44","1","0",,"0"
"2022-09-13","0",NULL,NULL,NULL,"0","Origen= ;Visible=Si;Unitat_Venda=kg;Unitat_Compra=kg;Nom_Compra=Mel de bosc 0,5 kg, UNITAT, EL RUSC;Multiplicador=1;",,"IVA10,5","-3","0","0","0","Code39","0",NULL,"Mel de bosc 0.5 Kg. UNITAT, EL RUSC",NULL,"1","6","alexsubi",NULL,"1","ale006",NULL,"6.91","1","0",,"0"
"2021-12-01","0",NULL,NULL,NULL,"0","Origen= ;Visible=Si;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Suc de poma, remolatxa i pastanaga 750 cc. FRUITALPUNTBIO;Multiplicador=1;",,"IVA10","12","0","1.6","0","Code39","0",NULL,"Suc de poma, remolatxa i pastanaga 750 cc. FRUITALPUNTBIO",NULL,"1","7","fruitalp",NULL,"1","alp0001",NULL,"2.13","1","0",,"0"
"2021-12-01","0",NULL,NULL,NULL,"0","Origen= ;Visible=Si;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Suc de Poma 750 cc. FRUITALPUNTBIO;Multiplicador=1;",,"IVA10","28","0","1.6","0","Code39","0",NULL,"Suc de Poma 750 cc. FRUITALPUNTBIO",NULL,"1","7","fruitalp",NULL,"1","alp0002",NULL,"2.13","1","0",,"0"
"2021-12-01","0",NULL,NULL,NULL,"0","Origen= ;Visible=Si;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Suc de Pera 750 cc. FRUITALPUNTBIO;Multiplicador=1;",,"IVA10","4","0","1.55","0","Code39","0",NULL,"Suc de Pera 750 cc. FRUITALPUNTBIO",NULL,"1","7","fruitalp",NULL,"1","alp0003",NULL,"2.13","1","0",,"0"
"2021-12-01","0",NULL,NULL,NULL,"0","Origen= ;Visible=Si;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Suc de poma i magrana 750  ml, FRUITALPUNTBIO;Multiplicador=1;",,"IVA10","-3","0","1.667","0","Code39","0",NULL,"Suc de poma i magrana 750  ml, FRUITALPUNTBIO",NULL,"1","7","fruitalp",NULL,"1","alp0004",NULL,"2.33","1","0",,"0"
"2021-11-30","0",NULL,NULL,NULL,"0","Origen= ;Visible=Si;Unitat_Venda=kg;Unitat_Compra=kg;Nom_Compra=Melmelada de préssec  amb sirop d&#39;arròs 200 gr , A 2 PASOS DEL CAMPO;Multiplicador=1;","8437021906196","IVA10","-3","0","1.5","0","Code39","0",NULL,"Melmelada de préssec  amb sirop d&#39;arròs 200 gr , A 2 PASOS DEL CAMPO",NULL,"1","5","fruitalp",NULL,"1","alp0005",NULL,"2","1","0",,"0"
"2021-12-07","0",NULL,NULL,NULL,"0","Origen= ;Visible=Si;Unitat_Venda=kg;Unitat_Compra=kg;Nom_Compra=Melmelada de tomàquet, 200 gr , A 2 PASOS DEL CAMPO;Multiplicador=1;","8437021906103","IVA10","0","0","1.8","0","Code39","0",NULL,"Melmelada de tomàquet, 200gr , A 2 PASOS DEL CAMPO",NULL,"1","4","hortec",NULL,"1","alp0006",NULL,"2.3","1","0",,"0"
"2021-12-21","0",NULL,NULL,NULL,"0","Origen=Sant Boi de Llobregat ;Visible=No;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Codonyat 200 gr, FRUITALPUNTBIO;Multiplicador=1;",,"IVA10","-6","0","2.25","0","Code39","0",NULL,"Codonyat 200 gr, FRUITALPUNTBIO",NULL,"1","5","fruitalp",NULL,"1","alp0007",NULL,"2.93","1","0",,"0"
"2022-02-08","0",NULL,NULL,NULL,"0","Origen= ;Visible=Si;Unitat_Venda=kg;Unitat_Compra=kg;Nom_Compra=Suc de poma 250 cl, FRUITALPUNTBIO;Multiplicador=1;",,"IVA10","0","0","0.65","0","Code39","0",NULL,"Suc de poma 250 cl, FRUITALPUNTBIO",NULL,"1","5","fruitalp",NULL,"1","alp0008",NULL,"0.83","1","0",,"0"
"2021-12-14","0",NULL,NULL,NULL,"0","Origen=;Visible=Si;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Xocolata negra 70% mascao ALTERNATIVA 3;Multiplicador=1;","8435030570506","IVA10","43","0","1.5666666666667","0","Code39","0",NULL,"Xocolata negra 70% mascao, ALTERNATIVA 3",NULL,"1","6","alternat",NULL,"1","alt0001",NULL,"2.41","1","0",,"0"
"2022-09-09","0",NULL,NULL,NULL,"0","Origen=;Visible=Si;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Xocolata negra 85% mascao ALTERNATIVA 3;Multiplicador=1;","8435030573897","IVA10","8","0","1.81","0","Code39","0",NULL,"Xocolata negra 85% mascao, ALTERNATIVA 3",NULL,"1","6","alternat",NULL,"1","alt0002",NULL,"2.38","1","0",,"0"
"2022-03-15","0",NULL,NULL,NULL,"0","Origen=;Visible=Si;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Cacau instant 250 gr ALTERNATIVA 3;Multiplicador=1;","8435030574566","IVA10","6","0","2.09","0","Code39","0",NULL,"Cacau instant 250 gr, ALTERNATIVA 3",NULL,"1","6","alternat",NULL,"1","alt0003",NULL,"2.67","1","0",,"0"
"2022-09-12","0",NULL,NULL,NULL,"0","Origen=;Visible=Si;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Cafè forte 250 gr ALTERNATIVA 3;Multiplicador=1;","8435030573798","IVA10","-5","0","2.7979396825397","0","Code39","0",NULL,"Cafè forte 250 gr, ALTERNATIVA 3",NULL,"1","6","alternat",NULL,"1","alt0004",NULL,"4.06","1","0",,"0"
"2022-09-09","0",NULL,NULL,NULL,"0","Origen=;Visible=Si;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Cafè espresso 250 gr ALTERNATIVA 3;Multiplicador=1;","8435030500015","IVA10","0","0","2.93","0","Code39","0",NULL,"Cafè espresso 250 gr, ALTERNATIVA 3",NULL,"1","6","alternat",NULL,"1","alt0005",NULL,"4.24","1","0",,"0"
"2022-03-15","0",NULL,NULL,NULL,"0","Origen=;Visible=Si;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Xocolata 75% cacao Perú ALTERNATIVA 3;Multiplicador=1;","8435030573903","IVA10","-1","0","1.9720606060606","0","Code39","0",NULL,"Xocolata 75% cacao Perú, ALTERNATIVA 3",NULL,"1","6","alternat",NULL,"1","alt0006",NULL,"2.65","1","0",,"0"
"2022-03-15","0",NULL,NULL,NULL,"0","Origen= ;Visible=Si;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Cafè descafeïnat molt 250 gr, ALTERNATIVA 3;Multiplicador=1;","8435030572296","IVA10","4","0","4.45","3.91","Code39","0",NULL,"Cafè descafeïnat molt 250 gr, ALTERNATIVA 3",NULL,"1","6","alternat",NULL,"1","alt0007",NULL,"5.88","1","0",,"0"
"2022-01-20","0",NULL,NULL,NULL,"0","Origen=;Visible=Si;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Cafè Brasil-Tanzania molt 250 gr, ALTERNATIVA 3;Multiplicador=1;","8435030572050","IVA10","-3","0","2.5012781609195","0","Code39","0",NULL,"Cafè Brasil-Tanzania molt 250 gr, ALTERNATIVA 3",NULL,"1","6","alternat",NULL,"1","alt0008",NULL,"3.46","1","0",,"0"
